Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
1,NewOrder,1704304341.958955,11164,0,1
3,OrderStatus,1704304341.970147,1816,0,1
5,StockLevel,1704304341.971977,1844,0,1
1,NewOrder,1704304341.973839,31207,0,1
1,NewOrder,1704304342.005072,31824,0,1
3,OrderStatus,1704304342.036922,4716,0,1
1,NewOrder,1704304342.041657,40703,0,1
1,NewOrder,1704304342.082408,41903,0,1
1,NewOrder,1704304342.124341,54879,0,1
2,Payment,1704304342.179250,56401,0,1
2,Payment,1704304342.235681,11600,0,1
2,Payment,1704304342.247314,30711,0,1
2,Payment,1704304342.278049,23609,0,1
1,NewOrder,1704304342.301683,15149,0,1
1,NewOrder,1704304342.316856,40725,0,1
2,Payment,1704304342.357606,11014,0,1
1,NewOrder,1704304342.368645,70404,0,1
1,NewOrder,1704304342.439287,26556,0,1
1,NewOrder,1704304342.465869,63751,0,1
1,NewOrder,1704304342.529648,67485,0,1
2,Payment,1704304342.597157,38948,0,1
1,NewOrder,1704304342.636128,29420,0,1
1,NewOrder,1704304342.665573,22015,0,1
2,Payment,1704304342.687613,37003,0,1
1,NewOrder,1704304342.724641,30016,0,1
3,OrderStatus,1704304342.754683,4629,0,1
1,NewOrder,1704304342.759332,28492,0,1
2,Payment,1704304342.787850,35220,0,1
1,NewOrder,1704304342.823097,31507,0,1
2,Payment,1704304342.854626,7113,0,1
1,NewOrder,1704304342.861761,38992,0,1
2,Payment,1704304342.900778,30215,0,1
2,Payment,1704304342.931017,22054,0,1
1,NewOrder,1704304342.953107,60951,0,1
1,NewOrder,1704304343.014088,32019,0,1
4,Delivery,1704304343.046131,38333,0,1
2,Payment,1704304343.084488,4412,0,1
2,Payment,1704304343.088923,4881,0,1
2,Payment,1704304343.093848,3071,0,1
5,StockLevel,1704304343.096941,1438,0,1
1,NewOrder,1704304343.098394,7435,0,1
1,NewOrder,1704304343.105870,5538,0,1
2,Payment,1704304343.111755,3455,0,1
2,Payment,1704304343.115620,3010,0,1
5,StockLevel,1704304343.118651,1445,0,1
2,Payment,1704304343.120111,20936,0,1
2,Payment,1704304343.141074,3734,0,1
3,OrderStatus,1704304343.144833,798,0,1
2,Payment,1704304343.145646,3422,0,1
