Transaction Type Index,Transaction Name,Start Time (microseconds),Latency (microseconds),Worker Id (start number),Phase Id (index in config file)
2,Payment,1704390315.730217,8002,0,1
2,Payment,1704390315.738246,42649,0,1
1,NewOrder,1704390315.781075,36302,0,1
5,StockLevel,1704390315.817392,3979,0,1
1,NewOrder,1704390315.821384,37036,0,1
2,Payment,1704390315.858437,7893,0,1
1,NewOrder,1704390315.866361,6238,0,1
1,NewOrder,1704390315.872615,22321,0,1
1,NewOrder,1704390315.894953,47604,0,1
1,NewOrder,1704390315.942574,27699,0,1
1,NewOrder,1704390315.970289,6813,0,1
2,Payment,1704390315.977117,9152,0,1
1,NewOrder,1704390315.986285,14218,0,1
2,Payment,1704390316.000518,10892,0,1
2,Payment,1704390316.011426,39388,0,1
2,Payment,1704390316.050843,41325,0,1
2,Payment,1704390316.092184,24268,0,1
1,NewOrder,1704390316.116467,23857,0,1
1,NewOrder,1704390316.140339,49110,0,1
1,NewOrder,1704390316.189465,49186,0,1
2,Payment,1704390316.238668,31916,0,1
1,NewOrder,1704390316.270601,14895,0,1
2,Payment,1704390316.285507,23877,0,1
1,NewOrder,1704390316.309400,40791,0,1
3,OrderStatus,1704390316.350206,5850,0,1
2,Payment,1704390316.356069,26006,0,1
1,NewOrder,1704390316.382090,44364,0,1
1,NewOrder,1704390316.426470,34134,0,1
1,NewOrder,1704390316.460619,47416,0,1
4,Delivery,1704390316.508052,61651,0,1
1,NewOrder,1704390316.569721,27393,0,1
1,NewOrder,1704390316.597131,7388,0,1
1,NewOrder,1704390316.604546,34937,0,1
3,OrderStatus,1704390316.639500,5003,0,1
1,NewOrder,1704390316.644515,40090,0,1
1,NewOrder,1704390316.684622,42152,0,1
2,Payment,1704390316.726796,32421,0,1
1,NewOrder,1704390316.759232,43718,0,1
1,NewOrder,1704390316.802965,33864,0,1
2,Payment,1704390316.836848,34088,0,1
1,NewOrder,1704390316.870952,42314,0,1
1,NewOrder,1704390316.913283,7257,0,1
3,OrderStatus,1704390316.920555,1268,0,1
5,StockLevel,1704390316.921830,1976,0,1
2,Payment,1704390316.923817,6502,0,1
2,Payment,1704390316.930335,3919,0,1
1,NewOrder,1704390316.934270,4865,0,1
2,Payment,1704390316.939149,3996,0,1
2,Payment,1704390316.943159,4380,0,1
2,Payment,1704390316.947554,4675,0,1
2,Payment,1704390316.952244,4054,0,1
1,NewOrder,1704390316.956312,41445,0,1
2,Payment,1704390316.997773,8934,0,1
2,Payment,1704390317.006721,9819,0,1
2,Payment,1704390317.016554,10313,0,1
1,NewOrder,1704390317.027097,31125,0,1
1,NewOrder,1704390317.058239,31671,0,1
2,Payment,1704390317.089944,45388,0,1
2,Payment,1704390317.135348,31777,0,1
